year,crimes_against_person,property_crime,drug_offences,public_order,justice_offences,other_offences,total_incidents
2016,58148,266800,15152,23999,45499,730,410328
2017,61282,242515,14966,24496,45758,739,389756
2018,62359,232750,15282,23789,47850,680,382710
2019,64831,239740,16663,23585,50666,729,396214
2020,64530,223446,18727,18520,53830,32677,411730
2021,65252,193154,14737,17783,53108,12735,356769
2022,65851,189518,13617,16943,53442,3411,342782
2023,66692,219235,13719,17161,57952,628,375387
2024,71584,271903,15227,15137,56006,676,430533
2025,77094,314531,15630,16592,58764,702,483313
